ds,y
2020-01-01,0.0
2020-01-02,0.30996904641652234
2020-01-03,0.619886664422356
2020-01-04,0.929701440930006
2020-01-05,1.2393619934937987
2020-01-06,1.5488169856193807
2020-01-07,1.858015142059526
2020-01-08,2.1669052640916924
2020-01-09,2.475436244772781
2020-01-10,2.7835570841665485
2020-01-11,3.091216904539134
2020-01-12,3.398364965518178
2020-01-13,3.704950679211014
2020-01-14,4.01092362527743
2020-01-15,4.316233565952501
2020-01-16,4.620830461015032
2020-01-17,4.9246644826971355
2020-01-18,5.227686030530512
2020-01-19,5.529845746125002
2020-01-20,5.831094527875016
2020-01-21,6.131383545589452
2020-01-22,6.430664255040741
2020-01-23,6.728888412428697
2020-01-24,7.026008088754848
2020-01-25,7.321975684102972
2020-01-26,7.616743941821586
2020-01-27,7.910265962604154
2020-01-28,8.202495218462822
2020-01-29,8.493385566591531
2020-01-30,8.782891263114346
2020-01-31,9.070966976714935
2020-02-01,9.357567802143116
2020-02-02,9.642649273594476
2020-02-03,9.926167377959025
2020-02-04,10.208078567935
2020-02-05,10.488339775003865
2020-02-06,10.766908422262652
2020-02-07,11.043742437109838
2020-02-08,11.318800263780947
2020-02-09,11.592040875730191
2020-02-10,11.863423787854387
2020-02-11,12.132909068555573
2020-02-12,12.400457351638721
2020-02-13,12.66602984804095
2020-02-14,12.929588357388816
2020-02-15,13.191095279380175
2020-02-16,13.450513624987282
2020-02-17,13.70780702747772
2020-02-18,13.96293975324996
2020-02-19,14.215876712480242
2020-02-20,14.466583469577657
2020-02-21,14.715026253444304
2020-02-22,14.961171967537442
2020-02-23,15.204988199730685
2020-02-24,15.446443231971243
2020-02-25,15.685506049730378
2020-02-26,15.922146351244256
2020-02-27,16.156334556542394
2020-02-28,16.388041816261083
2020-02-29,16.617240020239116
2020-03-01,16.84390180589325
2020-03-02,17.068000566370944
2020-03-03,17.289510458477935
2020-03-04,17.508406410378257
2020-03-05,17.724664129064422
2020-03-06,17.93826010759562
2020-03-07,18.149171632101606
2020-03-08,18.35737678855037
2020-03-09,18.562854469277443
2020-03-10,18.765584379275
2020-03-11,18.965547042238764
2020-03-12,19.16272380637102
2020-03-13,19.35709684993795
2020-03-14,19.54864918657967
2020-03-15,19.73736467037132
2020-03-16,19.923228000633806
2020-03-17,20.106224726492634
2020-03-18,20.2863412511836
2020-03-19,20.463564836103952
2020-03-20,20.637883604607904
2020-03-21,20.80928654554529
2020-03-22,20.977763516542367
2020-03-23,21.14330524702373
2020-03-24,21.30590334097453
2020-03-25,21.46555027944208
2020-03-26,21.622239422776104
2020-03-27,21.77596501260708
2020-03-28,21.926722173561927
2020-03-29,22.07450691471665
2020-03-30,22.21931613078543
2020-03-31,22.361147603045858
2020-04-01,22.5
2020-04-02,22.635872877771135
2020-04-03,22.768766680235977
2020-04-04,22.898682738892475
2020-04-05,23.02562327246303
2020-04-06,23.149591386233453
2020-04-07,23.270591071127754
2020-04-08,23.388627202519004
2020-04-09,23.50370553877673
2020-04-10,23.6158327195512
2020-04-11,23.725016263795112
2020-04-12,23.831264567523316
2020-04-13,23.934586901311203
2020-04-14,24.034993407532525
2020-04-15,24.132495097337447
2020-04-16,24.227103847371758
2020-04-17,24.318832396238207
2020-04-18,24.407694340700992
2020-04-19,24.493704131634615
2020-04-20,24.576877069718172
2020-04-21,24.657229300876512
2020-04-22,24.734777811469534
2020-04-23,24.80954042323105
2020-04-24,24.881535787958764
2020-04-25,24.95078338195696
2020-04-26,25.017303500233478
2020-04-27,25.081117250452763
2020-04-28,25.142246546646845
2020-04-29,25.200714102685946
2020-04-30,25.256543425510905
2020-05-01,25.30975880812919
2020-05-02,25.360385322376764
2020-05-03,25.40844881144791
2020-05-04,25.453975882195152
2020-05-05,25.496993897201733
2020-05-06,25.537530966628875
2020-05-07,25.57561593984027
2020-05-08,25.61127839680641
2020-05-09,25.64454863929113
2020-05-10,25.675457681823158
2020-05-11,25.704037242455293
2020-05-12,25.730319733313923
2020-05-13,25.754338250941785
2020-05-14,25.776126566436776
2020-05-15,25.79571911538981
2020-05-16,25.813150987624645
2020-05-17,25.828457916742817
2020-05-18,25.84167626947673
2020-05-19,25.85284303485414
2020-05-20,25.861995813177185
2020-05-21,25.869172804819314
2020-05-22,25.8744127988434
2020-05-23,25.877755161444483
2020-05-24,25.879239824220512
2020-05-25,25.878907272274674
2020-05-26,25.87679853215277
